id_usuario;id_eval;nombre;edad;genero;estado_relacion;situacion_trabajo;hr_sueno;hr_act_fis;hr_pantalla;apoyo_percibido;estres_laboral;estres_academico;satisfaccion_laboral;estres_financ;hr_trabajo;cambio_emocional;dificultad_concentracion;historial_panico;historial_familiar;diagnostico_previo;tratamiento_previo;uso_sustancias;correo;password
39;10039;Inocencio Maza Borrell;28;Otro;Soltero;Estudiante;91;40;24;3;9;2;10;9;28;2;8;1;0;1;1;0;inocencio.maza408@hotmail.com;Inocen291_
40;10040;Berto Belda Guzman;22;Otro;Casado;Empleado;33;80;116;5;1;2;8;3;67;8;2;1;0;0;0;0;berto.belda309@hotmail.com;Bertob140!
41;10041;Alejandra Marín Ayuso;23;Femenina;Soltero;Independiente;66;130;37;9;9;5;10;4;67;10;9;0;0;0;1;1;alejandra.marin136@hotmail.com;Alejan268!
42;10042;Alba Tello Robles;27;Otro;Casado;Empleado;60;126;53;5;6;4;4;4;34;6;1;1;1;0;1;1;alba.tello471@yahoo.com;Albate260!
43;10043;Jacinto Esteban Armas Cobos;35;Masculino;Casado;Independiente;91;146;117;3;4;7;1;6;55;10;2;1;1;0;1;0;jacinto.esteban780@yahoo.com;Jacint104#
44;10044;Encarna Samper;18;Femenina;Divorciado;Independiente;52;109;92;1;9;8;2;8;54;8;2;1;0;0;0;1;encarna.samper345@gmail.com;Encarn520#
45;10045;Federico Pascual Pastor;30;Masculino;Casado;Estudiante;40;70;85;6;9;1;6;9;37;8;9;0;1;0;1;1;federico.pascual890@yahoo.com;Federi807@
46;10046;Ciriaco Ugarte Carretero;32;Otro;Casado;Estudiante;65;93;87;8;2;1;2;1;29;4;10;1;0;1;1;0;ciriaco.ugarte167@gmail.com;Ciriac589_
47;10047;Juan Bautista Izaguirre Lloret;36;Otro;Soltero;Independiente;98;51;30;3;2;6;2;3;51;9;3;1;1;0;0;0;juan.bautista111@outlook.com;Juanba247_
48;10048;Leocadio Miró;29;Masculino;Divorciado;Desempleado;79;25;28;5;5;5;1;1;62;4;2;1;1;0;0;0;leocadio.miro773@outlook.com;Leocad737123
49;10049;Dan Toledo Márquez;21;Masculino;Divorciado;Estudiante;77;32;82;5;9;10;2;2;67;9;9;1;0;0;0;0;dan.toledo706@yahoo.com;Dantol119123
50;10050;Esteban de Conde;26;Masculino;Soltero;Empleado;57;130;67;5;10;9;5;2;25;6;2;1;0;0;0;0;esteban.de856@hotmail.com;Esteba716@
51;10051;Julie Aranda Alcántara;22;Femenina;Casado;Independiente;42;111;105;1;6;5;3;7;40;9;2;1;0;0;0;1;julie.aranda734@outlook.com;Juliea859@
52;10052;Lorena Palomo Vilanova;20;Femenina;Divorciado;Estudiante;61;67;90;7;8;3;4;10;30;4;8;0;0;1;0;0;lorena.palomo689@yahoo.com;Lorena471123
53;10053;María Carmen del Blazquez;25;Femenina;Soltero;Empleado;56;52;78;1;2;5;5;8;32;3;6;1;0;1;0;1;maria.carmen603@outlook.com;Mariac937#
54;10054;José Abril Ramirez;23;Otro;Soltero;Estudiante;34;57;50;2;7;4;8;6;54;9;7;1;1;1;1;0;jose.abril455@gmail.com;Joseab199@
55;10055;Visitación de Cuesta;33;Otro;Casado;Estudiante;30;45;118;7;3;8;6;5;22;1;9;1;0;1;1;1;visitacion.de913@outlook.com;Visita518#
56;10056;Pascuala Menendez-Arrieta;35;Otro;Soltero;Estudiante;85;130;77;6;4;2;4;1;31;9;5;1;0;0;0;0;pascuala.menendezarrieta186@gmail.com;Pascua187_
57;10057;Anunciación Torrent Mendoza;28;Otro;Divorciado;Independiente;88;42;114;7;6;3;6;6;37;1;10;1;1;0;0;1;anunciacion.torrent806@yahoo.com;Anunci431123
58;10058;Mayte Pardo Palau;29;Otro;Soltero;Empleado;98;65;44;4;2;6;2;7;33;3;2;1;0;1;1;0;mayte.pardo357@outlook.com;Maytep509123
59;10059;Luis Ángel Plana Coloma;21;Otro;Divorciado;Independiente;91;37;82;9;4;6;10;5;54;1;8;0;0;0;1;1;luis.angel174@hotmail.com;Luisan952!
60;10060;Feliciana Belmonte Andreu;18;Femenina;Divorciado;Empleado;61;7;14;1;3;8;3;8;42;5;8;1;0;1;1;0;feliciana.belmonte953@outlook.com;Felici215@
61;10061;Elvira Bastida Ferrández;32;Femenina;Soltero;Desempleado;96;118;49;5;6;8;10;6;24;9;9;1;0;1;0;0;elvira.bastida844@hotmail.com;Elvira902123
62;10062;Luz Barreda Laguna;35;Otro;Divorciado;Estudiante;75;33;118;8;7;7;6;6;65;2;5;0;1;0;1;0;luz.barreda355@outlook.com;Luzbar137!
63;10063;Noé del Arjona;32;Masculino;Divorciado;Desempleado;65;126;91;5;1;8;3;6;62;9;5;0;1;1;1;1;noe.del468@yahoo.com;Noedel826!
64;10064;Abraham Esteban Baró;25;Masculino;Divorciado;Empleado;47;109;119;3;10;2;9;10;59;9;9;1;1;1;1;1;abraham.esteban86@yahoo.com;Abraha129123
65;10065;Guadalupe Codina Tenorio;29;Femenina;Casado;Independiente;82;30;115;3;7;6;8;3;39;4;4;1;1;1;0;1;guadalupe.codina380@outlook.com;Guadal565_
66;10066;Dora Salamanca-Cabello;21;Femenina;Divorciado;Estudiante;34;73;76;3;1;3;6;8;38;4;3;1;0;1;1;0;dora.salamancacabello777@outlook.com;Dorasa119@
67;10067;Liliana Castell Millán;27;Femenina;Casado;Estudiante;53;4;13;6;1;3;5;3;64;3;5;0;1;0;1;0;liliana.castell824@outlook.com;Lilian919#
68;10068;Tomás Velázquez Cáceres;31;Masculino;Casado;Independiente;81;147;38;7;10;5;8;1;22;5;9;0;0;0;1;0;tomas.velazquez974@hotmail.com;Tomasv357_
69;10069;Encarnacion de Benavente;21;Femenina;Soltero;Independiente;59;13;85;1;8;2;10;9;52;1;2;1;1;1;1;0;encarnacion.de12@hotmail.com;Encarn459@
70;10070;Pía Aguirre Rosado;27;Femenina;Casado;Independiente;42;142;103;10;2;3;7;6;21;10;3;1;0;0;0;1;pia.aguirre292@gmail.com;Piaagu485@
71;10071;Raimundo José Antonio Lobato Carreño;25;Masculino;Soltero;Empleado;50;119;74;8;7;9;8;2;40;2;7;1;0;0;0;0;raimundo.jose638@hotmail.com;Raimun9582026
72;10072;Régulo Sarabia Mur;21;Masculino;Soltero;Empleado;100;147;82;5;9;3;1;4;46;10;5;0;0;1;0;0;regulo.sarabia687@outlook.com;Regulo820#
73;10073;Nicodemo Mohamed Garrido Madrid;26;Masculino;Casado;Empleado;76;149;18;4;10;9;6;5;22;5;4;1;1;1;0;0;nicodemo.mohamed661@gmail.com;Nicode379#
74;10074;Gema Terrón;26;Femenina;Divorciado;Desempleado;85;100;39;6;7;2;8;6;52;3;3;1;0;1;0;1;gema.terron83@yahoo.com;Gemate6242026
75;10075;Gabino Zabala Olivera;36;Masculino;Divorciado;Independiente;91;17;87;8;1;9;1;8;55;3;9;0;1;1;0;1;gabino.zabala959@yahoo.com;Gabino906!
76;10076;Teodora Rebeca Lago Carrera;21;Otro;Casado;Independiente;91;132;46;9;8;7;1;3;41;5;4;0;0;1;0;0;teodora.rebeca304@gmail.com;Teodor111123
77;10077;Cecilia Carlos Borrego;26;Otro;Divorciado;Empleado;94;100;101;1;8;7;8;6;43;4;6;1;0;0;1;1;cecilia.carlos918@hotmail.com;Cecili9362026
78;10078;Eugenia Porta-Guzman;35;Otro;Divorciado;Empleado;55;71;15;3;10;1;9;1;27;4;8;0;0;0;1;0;eugenia.portaguzman497@hotmail.com;Eugeni702!
79;10079;Carmela Solera Tenorio;25;Femenina;Soltero;Independiente;33;16;47;5;1;10;6;9;40;1;9;0;1;0;0;0;carmela.solera29@gmail.com;Carmel635_
80;10080;Silvio Marcos Madrid Valencia;22;Masculino;Soltero;Estudiante;46;147;69;4;10;6;10;3;64;10;5;1;0;0;1;1;silvio.marcos164@gmail.com;Silvio229@
81;10081;Heraclio España Salazar;20;Masculino;Divorciado;Estudiante;51;39;31;5;5;7;4;3;68;2;4;0;0;0;0;1;heraclio.espana116@yahoo.com;Heracl571123
82;10082;Augusto Vaquero;35;Otro;Casado;Estudiante;74;85;78;7;5;8;5;1;56;3;5;1;0;1;0;0;augusto.vaquero510@gmail.com;August1352026
83;10083;Rufino Viana Toro;29;Masculino;Casado;Independiente;33;112;70;1;8;4;9;10;24;3;10;1;1;1;1;1;rufino.viana862@outlook.com;Rufino198@
84;10084;Pío Patricio Juárez Galván;23;Masculino;Casado;Independiente;71;56;41;8;7;9;3;2;52;2;3;0;0;0;1;0;pio.patricio638@outlook.com;Piopat709@
85;10085;Albino Joaquín Cordero Taboada;20;Masculino;Divorciado;Desempleado;78;20;43;2;9;8;3;8;35;2;8;1;0;1;0;1;albino.joaquin837@outlook.com;Albino914@
86;10086;Judith Hidalgo-Rebollo;24;Otro;Divorciado;Desempleado;33;51;80;5;8;8;5;9;34;2;8;0;0;1;1;1;judith.hidalgorebollo256@yahoo.com;Judith552@
87;10087;Marino Costa-Casanova;21;Masculino;Casado;Independiente;58;10;48;2;3;6;2;8;22;10;6;1;1;1;1;0;marino.costacasanova922@hotmail.com;Marino824123
88;10088;Ágata Expósito;21;Femenina;Soltero;Estudiante;40;116;40;2;2;8;2;9;50;10;10;1;1;1;1;0;agata.exposito968@gmail.com;Agatae698123
89;10089;Hector Sola;29;Otro;Casado;Desempleado;77;17;15;1;9;8;7;10;48;5;1;1;1;0;0;1;hector.sola920@outlook.com;Hector7402026
90;10090;Loreto Tudela-Márquez;30;Femenina;Casado;Independiente;59;123;104;9;9;6;6;8;35;7;2;0;1;1;0;1;loreto.tudelamarquez44@hotmail.com;Loreto935_
91;10091;Carla Sales Palma;35;Otro;Casado;Independiente;82;146;16;8;6;6;1;4;47;1;6;1;1;0;1;0;carla.sales72@gmail.com;Carlas425_
92;10092;Fabricio del Porta;27;Masculino;Casado;Estudiante;31;57;47;1;4;10;3;9;41;6;4;1;0;0;0;1;fabricio.del269@hotmail.com;Fabric736@
93;10093;Fernanda de Hervia;21;Femenina;Casado;Desempleado;93;107;113;7;10;4;10;8;53;8;4;1;0;0;1;1;fernanda.de998@hotmail.com;Fernan344123
94;10094;Oriana Diaz Posada;27;Femenina;Casado;Estudiante;85;57;71;5;8;10;8;2;62;5;9;0;0;1;0;0;oriana.diaz397@gmail.com;Oriana119!
95;10095;Julián Salinas;27;Masculino;Soltero;Estudiante;93;23;119;3;1;9;7;1;53;5;3;0;0;0;0;1;julian.salinas180@hotmail.com;Julian801!
96;10096;Ambrosio Rodriguez Alegria;31;Masculino;Divorciado;Desempleado;74;149;52;2;4;1;2;1;46;4;7;1;0;0;0;0;ambrosio.rodriguez952@hotmail.com;Ambros339@
97;10097;Filomena Guzmán Muñoz;22;Femenina;Casado;Estudiante;33;26;105;9;4;5;8;3;64;3;3;0;1;0;0;0;filomena.guzman922@yahoo.com;Filome570_
98;10098;Graciana Colom Villalonga;24;Femenina;Casado;Independiente;89;60;94;10;4;2;4;8;42;9;4;1;0;0;0;0;graciana.colom766@gmail.com;Gracia1772026
99;10099;Candelario Río Prada;20;Masculino;Casado;Desempleado;37;124;15;2;8;8;10;4;55;1;7;0;1;1;0;0;candelario.rio678@gmail.com;Candel685123
100;10100;Julián Tolosa Romeu;22;Masculino;Soltero;Independiente;57;82;69;5;9;10;8;7;25;4;3;1;0;1;0;1;julian.tolosa448@yahoo.com;Julian149!
101;10101;Inocencio Carballo;30;Masculino;Casado;Empleado;97;107;115;10;9;4;4;7;35;3;9;0;1;0;1;1;inocencio.carballo121@gmail.com;Inocen493@
102;10102;Adolfo Leonel Benavente Toledo;20;Masculino;Divorciado;Independiente;90;147;79;8;1;1;5;5;35;5;9;1;1;0;1;1;adolfo.leonel269@outlook.com;Adolfo340123
103;10103;Isabel Dávila Escudero;29;Otro;Casado;Estudiante;35;91;67;2;8;10;6;6;54;6;4;0;0;1;1;1;isabel.davila606@outlook.com;Isabel3772026
104;10104;Flavio Franch Bosch;36;Otro;Soltero;Desempleado;74;97;39;6;3;6;10;9;53;4;2;0;1;0;0;1;flavio.franch59@hotmail.com;Flavio137!
105;10105;Espiridión Gordillo Fernández;27;Otro;Divorciado;Estudiante;58;126;31;6;6;1;10;2;51;4;5;0;0;1;0;0;espiridion.gordillo326@hotmail.com;Espiri2372026
106;10106;Samuel Cortina Verdugo;21;Masculino;Soltero;Independiente;60;109;11;1;9;9;10;2;47;1;5;0;0;1;1;0;samuel.cortina191@outlook.com;Samuel259!
107;10107;Gracia Gual Ortiz;20;Femenina;Divorciado;Empleado;73;111;91;8;3;10;1;9;65;1;1;1;0;0;1;1;gracia.gual921@yahoo.com;Gracia418#
108;10108;Cintia Sandoval Rius;29;Otro;Soltero;Estudiante;90;112;58;9;5;7;4;7;41;5;2;0;1;1;1;1;cintia.sandoval345@yahoo.com;Cintia961_
109;10109;Flora Hernandez-Fajardo;32;Femenina;Casado;Estudiante;82;86;118;1;1;3;3;10;28;2;2;0;0;1;0;1;flora.hernandezfajardo672@hotmail.com;Florah490123
110;10110;Evita Buendía Cantón;34;Otro;Divorciado;Desempleado;90;101;55;5;10;9;6;9;48;9;6;1;0;0;1;0;evita.buendia632@outlook.com;Evitab322_
111;10111;Mónica Guillén Gárate;32;Femenina;Soltero;Estudiante;35;97;18;6;4;10;3;3;21;7;4;0;1;1;0;1;monica.guillen290@yahoo.com;Monica312_
112;10112;Dionisio Porta Moll;34;Masculino;Casado;Independiente;31;31;88;9;6;10;1;7;26;4;10;0;0;1;1;1;dionisio.porta750@gmail.com;Dionis591@
113;10113;Osvaldo Gárate Díaz;29;Masculino;Casado;Desempleado;63;107;40;8;9;8;2;10;27;2;3;1;0;1;1;1;osvaldo.garate905@gmail.com;Osvald457#
114;10114;Isabel de Romeu;28;Femenina;Soltero;Independiente;31;12;44;6;8;2;1;4;41;3;5;0;0;1;0;0;isabel.de31@yahoo.com;Isabel299@
115;10115;Teodosio Prat-Jordá;21;Otro;Casado;Empleado;99;114;59;9;4;3;7;8;29;5;3;0;1;1;1;1;teodosio.pratjorda923@outlook.com;Teodos563#
116;10116;Amparo Borrego Gallart;27;Otro;Divorciado;Estudiante;69;112;99;8;6;6;2;1;20;1;7;0;0;0;1;1;amparo.borrego492@yahoo.com;Amparo384#
117;10117;Itziar Peinado Olivera;25;Femenina;Soltero;Independiente;96;116;24;5;7;1;1;10;58;7;10;1;0;1;1;1;itziar.peinado236@hotmail.com;Itziar1402026
118;10118;Ciríaco del Fábregas;29;Masculino;Casado;Independiente;84;129;45;1;9;8;4;10;58;6;3;1;0;0;0;1;ciriaco.del831@hotmail.com;Ciriac879_
119;10119;Amalia Luján Tur;35;Otro;Divorciado;Desempleado;39;105;56;8;1;1;5;6;51;6;4;1;0;1;0;0;amalia.lujan577@outlook.com;Amalia368_
120;10120;Miguel Vizcaíno Priego;20;Masculino;Casado;Empleado;93;51;90;5;4;9;9;5;48;6;4;0;0;0;1;1;miguel.vizcaino948@hotmail.com;Miguel847@
121;10121;María Fernanda Paloma Gárate Larrañaga;33;Otro;Divorciado;Desempleado;73;114;66;7;2;2;5;5;49;3;4;0;0;1;1;1;maria.fernanda911@gmail.com;Mariaf922#
122;10122;Gertrudis Larrea Sancho;25;Femenina;Casado;Empleado;84;35;48;5;3;2;8;3;68;3;8;1;1;1;1;0;gertrudis.larrea873@gmail.com;Gertru723123
123;10123;Juanita Canals Tamayo;34;Otro;Divorciado;Desempleado;53;31;19;6;3;8;6;1;36;6;5;1;1;0;0;0;juanita.canals291@outlook.com;Juanit574123
124;10124;Eric Gonzalez;21;Masculino;Divorciado;Empleado;59;25;107;3;6;8;8;9;50;7;8;1;0;0;1;0;eric.gonzalez937@gmail.com;Ericgo154!
125;10125;Reinaldo Arteaga-Coronado;33;Otro;Divorciado;Empleado;58;113;68;5;7;2;7;5;24;4;7;1;1;1;1;0;reinaldo.arteagacoronado313@hotmail.com;Reinal9422026
126;10126;Sandalio Llamas Lago;28;Masculino;Soltero;Estudiante;88;142;44;2;9;10;2;6;36;3;5;0;1;1;1;0;sandalio.llamas586@outlook.com;Sandal561#
127;10127;Gracia Alsina Bermejo;23;Femenina;Casado;Independiente;80;44;68;4;8;9;1;4;35;3;7;1;0;0;1;0;gracia.alsina39@yahoo.com;Gracia365@
128;10128;Fausto Rebollo Verdejo;22;Masculino;Soltero;Empleado;76;95;75;6;1;7;7;1;50;5;4;0;1;1;0;1;fausto.rebollo945@gmail.com;Fausto267_
129;10129;Ibán Noguera Falcón;32;Otro;Casado;Desempleado;92;2;45;3;6;7;8;4;47;6;9;0;1;1;0;0;iban.noguera193@outlook.com;Ibanno767123
130;10130;Maura Barros;30;Femenina;Divorciado;Empleado;77;115;44;5;6;3;8;4;66;3;10;0;0;0;1;0;maura.barros392@yahoo.com;Maurab8472026
131;10131;Néstor Teobaldo Olivares Riquelme;25;Masculino;Casado;Desempleado;71;110;50;7;4;9;10;6;30;5;8;1;0;0;0;0;nestor.teobaldo881@outlook.com;Nestor538#
132;10132;Flor Maza Bartolomé;21;Otro;Divorciado;Estudiante;58;113;60;6;9;7;7;2;30;6;3;0;1;1;1;0;flor.maza538@yahoo.com;Florma6222026
133;10133;Pilar Franco Manuel;24;Femenina;Divorciado;Empleado;72;131;73;3;4;2;4;9;43;5;1;0;1;1;1;1;pilar.franco73@yahoo.com;Pilarf624#
134;10134;Celia Tecla Arranz Gargallo;32;Femenina;Divorciado;Independiente;73;4;23;3;7;2;6;5;37;4;2;1;0;1;0;1;celia.tecla427@outlook.com;Celiat3502026
135;10135;Carmela Lamas;27;Femenina;Casado;Empleado;68;56;79;3;3;10;3;6;66;8;8;0;1;1;0;1;carmela.lamas804@hotmail.com;Carmel772@
136;10136;Donato Castañeda Uría;33;Masculino;Divorciado;Estudiante;44;37;44;6;5;10;6;9;64;9;4;1;1;1;1;0;donato.castaneda682@hotmail.com;Donato866!
137;10137;Edelmiro Barros Montero;26;Otro;Soltero;Estudiante;72;58;105;9;10;4;1;3;64;7;5;1;0;1;0;1;edelmiro.barros83@yahoo.com;Edelmi216_
138;10138;Encarnación Correa;26;Femenina;Casado;Desempleado;83;47;55;7;8;7;5;7;42;7;9;0;1;1;1;0;encarnacion.correa899@yahoo.com;Encarn518_
139;10139;Roldán Pascual Rodríguez Arnau;34;Masculino;Divorciado;Estudiante;43;145;57;10;7;6;3;10;47;4;5;0;1;0;1;0;roldan.pascual819@outlook.com;Roldan314@
140;10140;Ainara Moles Barón;33;Femenina;Soltero;Independiente;87;124;97;7;3;7;1;3;63;3;1;0;1;0;1;1;ainara.moles464@hotmail.com;Ainara616!
141;10141;Renata Santamaría Águila;25;Femenina;Casado;Desempleado;36;90;63;7;10;2;4;9;36;7;6;0;1;0;0;0;renata.santamaria286@outlook.com;Renata744!
142;10142;Adolfo Chaves Baeza;24;Otro;Divorciado;Independiente;39;106;92;3;3;6;8;7;23;7;9;0;0;1;0;0;adolfo.chaves167@yahoo.com;Adolfo821#
143;10143;Cándida Jerez-Anglada;32;Femenina;Casado;Independiente;97;102;79;3;9;2;8;8;27;2;9;0;1;1;1;0;candida.jerezanglada671@hotmail.com;Candid818!
144;10144;Benjamín Francisco Javier Conde Duran;32;Masculino;Casado;Independiente;85;18;80;9;2;3;2;1;38;5;1;0;0;0;0;0;benjamin.francisco74@hotmail.com;Benjam193_
145;10145;Abraham del Guillen;33;Otro;Casado;Estudiante;42;128;11;1;4;10;1;9;35;7;2;1;0;1;1;1;abraham.del903@hotmail.com;Abraha6422026
146;10146;Etelvina Menendez Barco;33;Femenina;Soltero;Independiente;41;104;28;5;6;6;9;4;36;10;6;0;1;1;0;0;etelvina.menendez582@outlook.com;Etelvi446!
147;10147;Ariel Calixto Gras Asensio;31;Masculino;Casado;Empleado;63;115;79;2;1;9;9;7;48;2;7;0;0;0;1;1;ariel.calixto689@yahoo.com;Arielc830#
148;10148;Candela Robles-Barrena;34;Femenina;Divorciado;Independiente;44;71;62;2;7;9;7;6;55;9;5;1;0;0;1;0;candela.roblesbarrena126@gmail.com;Candel215#
149;10149;Mariana Jimenez;33;Femenina;Soltero;Independiente;33;112;59;10;6;10;8;7;44;9;10;1;1;0;0;1;mariana.jimenez936@outlook.com;Marian427!
150;10150;Ignacia Salgado Ruiz;30;Femenina;Soltero;Independiente;76;126;71;4;3;7;8;2;39;6;4;1;1;1;1;0;ignacia.salgado956@hotmail.com;Ignaci353!
151;10151;Marisa de Lledó;34;Femenina;Soltero;Empleado;38;45;69;7;4;10;2;10;31;4;2;0;0;1;1;0;marisa.de129@yahoo.com;Marisa378123
152;10152;Laura de Roman;27;Femenina;Divorciado;Estudiante;71;29;83;9;2;8;10;5;31;4;8;1;0;1;1;0;laura.de667@yahoo.com;Laurad935#
